Language	Language(local)	Wiki	Articles	Total	Edits	Admins	Users	Active Users	Images	Depth
Banjar	Bahasa Banjar	bjn	1,767	12,727	63,472	2	8,007	18	1	191.87
Tongan	lea faka-Tonga	to	1,690	4,996	37,140	1	5,544	5	11	28.45
Hausa	Hausa	ha	1,662	4,374	36,812	1	6,994	18	0	22.41
Novial	Novial	nov	1,650	4,218	187,387	2	7,141	14	0	107.61
Greenlandic	kalaallisut	kl	1,642	4,868	73,780	2	8,604	9	0	58.5
Aramaic	ܐܪܡܝܐ	arc	1,622	5,898	92,921	1	13,723	8	0	109.49
Jamaican Patois	Patois	jam	1,617	2,793	17,168	1	2,857	12	0	3.25
Kabardian	Адыгэбзэ	kbd	1,574	6,595	42,603	0	6,047	11	0	65.73
Tuvan	тыва дыл	tyv	1,507	4,855	24,174	0	4,346	16	0	24.58
Tok Pisin	Tok Pisin	tpi	1,429	6,432	82,026	0	8,008	8	0	156.32
Tetum	tetun	tet	1,416	3,475	63,699	1	5,988	11	0	38.76
Kikuyu	Gĩkũyũ	ki	1,354	2,854	20,128	0	4,637	7	0	8.66
Nauruan	Dorerin Naoero	na	1,284	4,996	78,839	1	6,678	9	0	131.89
Igbo	Igbo	ig	1,282	6,139	63,820	1	7,902	22	0	149.22
Aromanian	armãneashti	roa-rup	1,216	4,792	258,732	0	9,810	7	0	466.94
Lak	лакку	lbe	1,215	10,937	44,480	0	5,765	9	0	260.39
Lojban	la .lojban.	jbo	1,206	5,466	108,254	2	10,263	7	0	247.11
Tahitian	reo tahiti	ty	1,196	3,614	50,557	0	4,972	6	0	57.18
Moksha	мокшень	mdf	1,180	4,684	50,475	2	5,867	6	0	95.02
Zhuang	Vahcuengh	za	1,178	2,939	38,706	0	6,477	11	0	29.43
Kongo	Kongo	kg	1,177	2,745	43,136	1	6,477	6	0	27.89
Luganda	Luganda	lg	1,166	4,152	25,475	0	4,395	5	0	40.24
Wolof	Wolof	wo	1,161	5,441	102,372	2	9,855	11	0	255.7
Bislama	Bislama	bi	1,157	2,824	41,807	0	7,016	12	0	——
Sranan	Sranantongo	srn	1,059	2,627	37,738	0	4,853	4	0	31.49
Kabiye	Kabɩyɛ	kbp	1,042	2,327	9,305	1	1,042	18	0	——
Tulu	ತುಳು	tcy	896	2,557	28,225	1	1,730	18	0	——
Zulu	isiZulu	zu	878	4,782	44,252	0	10,175	12	0	182.96
Cherokee	ᏣᎳᎩ	chr	871	4,496	37,387	0	12,116	13	0	144.04
Latgalian	latgaļu	ltg	801	2,678	32,897	0	4,351	7	0	67.45
Samoan	Gagana Samoa	sm	797	3,828	38,738	0	5,087	7	0	146.36
Oromo	Oromoo	om	761	4,097	26,794	0	5,286	18	0	125.68
Xhosa	isiXhosa	xh	728	3,022	31,121	0	6,785	11	0	102.25
Romani	Romani	rmy	655	2,506	51,359	0	11,805	10	0	163.67
